Timestamp (UTC),Beijing co,Beijing no2,Beijing o3,Beijing pm10,Beijing pm25,Beijing so2,Beijing pressure,Beijing windSpeed,Beijing windBearing,Zhangjiakou co,Zhangjiakou no2,Zhangjiakou o3,Zhangjiakou pm10,Zhangjiakou pm25,Zhangjiakou so2,Zhangjiakou pressure,Zhangjiakou windSpeed,Zhangjiakou windBearing,Qinhuangdao co,Qinhuangdao no2,Qinhuangdao o3,Qinhuangdao pm10,Qinhuangdao pm25,Qinhuangdao so2,Qinhuangdao pressure,Qinhuangdao windSpeed,Qinhuangdao windBearing,Shijiazhuang co,Shijiazhuang no2,Shijiazhuang o3,Shijiazhuang pm10,Shijiazhuang pm25,Shijiazhuang so2,Shijiazhuang pressure,Shijiazhuang windSpeed,Shijiazhuang windBearing,Tianjin co,Tianjin no2,Tianjin o3,Tianjin pm10,Tianjin pm25,Tianjin so2,Tianjin pressure,Tianjin windSpeed,Tianjin windBearing
2017-04-27 17:00:00,528.5714285714286,69.45714285714286,21.542857142857144,92,32.457142857142856,5.6571428571428575,,,,421.4,16,109.6,36,12.2,13,,,,1648.4,95.4,13.4,116.4,29,30.6,,,,1052,84.375,24.375,118.75,36.625,26.5,,,,882.6086956521739,39.08,61.6,109.47826086956522,31.608695652173914,16.16,,,
2017-04-27 18:00:00,454.2857142857143,66.11428571428571,21.885714285714286,80.29032258064517,26.514285714285716,4.9714285714285715,,,,448.4,19.6,91.2,39.2,13.2,14.4,,,,1621.8,90,20.4,107.4,28.6,27.4,,,,957.625,78.625,33.375,93,35.375,23.25,,,,881.8181818181819,47.18181818181818,48.61904761904762,122.28571428571429,38.333333333333336,20,,,
2017-04-27 19:00:00,380,64.17142857142858,23.257142857142856,74.47058823529412,22.942857142857143,4.914285714285715,,,,491.4,20.4,82.2,57.6,30.2,15.6,,,,1416,80.2,28.2,101,27.2,23.2,,,,907,69.125,42.5,90.625,28.75,22.125,,,,,,,,,,,,
2017-04-27 20:00:00,329.4117647058824,59.970588235294116,26.9375,61.4375,23.58823529411765,5.088235294117647,,,,489.6,21.2,74.4,50,27.2,16.2,,,,1126.6,69.2,33.4,102.6,23,23.8,,,,866,64.25,46.125,93,28.125,23.75,,,,1166.6666666666667,67,20.434782608695652,130.2173913043478,51.458333333333336,30.291666666666668,,,
2017-04-27 21:00:00,354.2857142857143,57.48571428571429,26.8,61.064516129032256,20.714285714285715,4.685714285714286,,,,521,23.2,65.8,47.2,28,16.6,,,,877,60.8,45.4,86.4,22,23,,,,969,60.875,48.625,114,27.25,26.375,,,,1166.6666666666667,67,20.434782608695652,130.2173913043478,51.458333333333336,30.291666666666668,,,
2017-04-27 22:00:00,400,56.82857142857143,26.97142857142857,68.4375,23.885714285714286,5.2,,,,597.2,30,51.8,57.2,28.6,16.8,,,,965,67.4,41.2,108.2,24.2,31,,,,997.875,61.75,48.375,123.25,27.25,30,,,,1337.5,73.45833333333333,13.904761904761905,131.30434782608697,57.166666666666664,33,,,
2017-04-27 23:00:00,500,58.285714285714285,24.771428571428572,85.0909090909091,27.057142857142857,5.628571428571429,,,,697.2,33,55,58.2,32.4,18.2,,,,810.2,50.2,62.4,83.2,24,31,,,,1001,58.375,52.625,123.875,31.875,30.875,,,,1241.6666666666667,73.54166666666667,13.956521739130435,116.3913043478261,57.708333333333336,27.791666666666668,,,
2017-04-28 00:00:00,502.94117647058823,54.411764705882355,32.85294117647059,82.72413793103448,28.606060606060606,6.617647058823529,,,,779.8,34.4,60.6,64,23.2,19.2,,,,551.6,31.6,84.6,63,17.2,19.8,,,,975.125,52.25,59.25,119.875,32.875,29.25,,,,1112.5,69.16666666666667,23.125,107,54.916666666666664,22.541666666666668,,,
2017-04-28 01:00:00,442.85714285714283,42.65714285714286,52.17142857142857,61.14705882352941,25.02777777777778,5.857142857142857,,,,682.2,33.4,74.4,62.2,19,17.4,,,,434.8,18.4,102.8,66,17,13.4,,,,873.875,39.875,72.875,103.25,24.5,26.25,,,,1064,65.56,32.84,108.41666666666667,52.48,16.12,,,
2017-04-28 02:00:00,368.57142857142856,28.457142857142856,73.17142857142858,59.54838709677419,26,5.0285714285714285,,,,597.4,28,89.6,54.4,14.8,18.25,,,,401,12.6,109.8,46.2,16.4,9.4,,,,798.75,32.375,82.25,90.375,22.875,22.25,,,,892,52.68,53.12,103.47826086956522,49.36,11.24,,,
2017-04-28 03:00:00,340,22.714285714285715,86.73529411764706,45.81481481481482,22.666666666666668,4.575757575757576,,,,547,22.8,164.2,63.8,14.8,17.2,,,,429.6,10.25,107.8,34.2,14.4,9.2,,,,703.75,24.625,93.875,67.875,20.625,18.75,,,,728,24.68,98.32,65.65217391304348,47.28,7.84,,,
2017-04-28 04:00:00,317.6470588235294,19.87878787878788,100.97058823529412,48.8125,21.705882352941178,4.823529411764706,,,,464.2,12.6,113.6,114.2,21.2,15,,,,480,15,106,32.6,11.2,13.2,,,,571,16.125,106.5,62.25,17.75,13.625,,,,691.304347826087,24.291666666666668,99.41666666666667,62.4,47.28,7.521739130434782,,,
2017-04-28 05:00:00,281.8181818181818,16.38235294117647,113.84848484848484,48.4,21.705882352941178,4.424242424242424,,,,453.2,10.8,113.2,143.6,22.4,16,,,,524.2,23.25,107.6,39.6,15,14.2,,,,555.625,12.625,111.25,52.25,13.625,11.75,,,,683.3333333333334,19.26086956521739,114.17391304347827,58.68421052631579,33.625,6.75,,,
